id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,notes,Collard and Wood (2000),Dembo et al. (2015),Strait et al. (1997),Strait and Grine (2004)
1,Projection of nasal bones above frontomaxillary suture,Frontal,CR,D,UM,PHY,,UBERON:0000209,The projection of nasal bones above frontomaxillary suture.,3,Tapered (0); Expanded (1); Not projected (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Hominids vary in the pattern by which the nasal bones project above the frontomaxillary suture (Olson, 1985; Eckhardt, 1987; Walker & Leakey, 1988). Four states are recognized: (0) nasal bones extend superior to the frontomaxillary suture by means of a narrow projection (i.e., the nasal bones taper above the suture line); (1) nasal bones project above the frontomaxillary suture, widening laterally as they pass the suture line; (2) nasal bones do not project above the frontomaxillary suture; and (3) variable. Pg. 64",
2,Inferior orbital margin rounded laterally,Orbit,CR,D,UM,PHY,,UBERON:0001697,The morphology of inferior margin of the orbit as being either rounded laterally or not rounded. ,2,No (0); Yes (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Olson (1985) describes the morphology of the inferior margin of the orbit as being either rounded laterally or not rounded. Rounded lateral margins are present in A. aethiopicus and A. robustus. They are also present in a large proportion of male G. gorilla, and thus this species is coded as being a variable. This character is equivalent to S&M 3. Pg. 64",
3,Infraorbital foramen location,Orbit,CR,C,UM,PHY,,UBERON:0001697,"The ratio of the distances between orbitale and the foramen, and orbitale and the root of the zygoma.",2,High (0); Low (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"This character is equivalent to S&M 4. However, the character here quantified as a ratio of the distances between orbitale and the foramen, and orbitale and the root of the zygoma. A high foramen has a value of <0.5 (i.e., it is located within the upper half of the malar). A low foramen has a value of >0.5 (within the lower half). State assignments produced by this ratio corespond to those of S&M 4 except with respect to A. africanus. This is because Sts 52a possesses a low foramen whereas the foramina in all other A. africanus specimens are high. Accordingly, A. africanus is here coded as being variable. Although Skelton & McHenry (1992) noted that Sts 52a has a low foramen, they coded the species as ""high"". Pg. 64","KGA 10-525 has a high infraorbital foramen (Suwa et al., 1997), whereas all other P. boisei crania have an infraorbital foramen that pierces the lower half of the chord measured between orbitale and the root of the zygoma. Thus, this species is considered variable. Pg. 441"
4,Anterior pillars,Maxilla,CF,D,UM,PHY,,UBERON:0002397,The presence of anterior pillars.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,,"This character is equivalent to S&M 6, but state assignments here differ considerably from theirs. Skelton & McHenry (1992) followed Rak (1983) in accepting that pillars in A. boisei (and, by extension, A. aethiopicus) had been ""obscurred by infilling"". This state assignment is based on a functional interpretation of australopithecine facial evolution (Rak, 1983), rather than upon strict observation. Consequently, pillars are considered to be absent in A. boisei and A.aethiopicus. Furthermore, pillars are variable in A. africanus rather than present (contra S&M 6) because they are absent in Sts 52a but present in all other relevent specimens. Finally, contray to S&M 6, pillars are considered to be variable in H. habilis (present in Stw 53, OH 62, KNM-ER 1805; absent in KNM-ER 1813, SK 847), and absent in H. rudolfensis (KNM-ER 1470) Pg. 65","Keyser (2000: table 2) described the Drimolen skull as lacking anterior pillars. However, in the text of the paper, he (Keyser, 2000: 189) stated that ‘‘Weakly developed anterior pillars are barely visible.’’ Moreover, he noted that the margins of the nasal aperture are rounded. Thus, we interpret this specimen as having anterior pillars, albeit ones that are weak. Pg. 441"
5,Nasoalveolar clivus contour in coronal plane,Maxilla,CF,D,OM,PHY,,UBERON:0002397,The contour of nasoalveolar clivus in coronal plane.,3,Convex (0); Straight (1); Concave (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,,"This character is equivalent to S&M 12. Rak (1983) describes three forms of the nasoalveolar clivus: convex, straight, and concave (=nasoalveolar ""gutter""). In our definition, ""straight"" includes both slight concavity and slight convexity. Skelton & McHenry (1992) considered the clivus of A.  aethiopicus (KNM-WT 17000) to be more concave than that in A. robustus and A. boisei. All three of these species are coded here as being concave. Furthermore (contra S&M 12), H. habilis possesses a straight clivus. Pg. 65",
6,Nasal cavity entrance,Nasal,CF,D,UM,PHY,,UBERON:0001681,The contour of the nasal cavity entrance.,2,Stepped (0); Smooth (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"This character seems equivalent to S&M 10 (""distinct subnasal and intranasal components of nasoalveolar clivus""). McCollum et al. (1993) described differences in the form of the entrance to the nasal cavity in fossil hominids. A stepped entrance (state 0) is one in which there is a drop posterior to the nasoalveolar clivus. A smooth entrance is one in which the clivus grades into the nasal floor. However, a smooth entrance can be formed in two (presumably non-homologous) ways. In H. sapiens, the smooth entrance is formed by flexions in the clivus hard palate, which do not overlap (state 3). In other hominoid species that exhibit a smooth entrance, the clivus and palate overlap considerbaly (state 2). State assignments follow McCollum et al. (1993: p. 97, Table 7), who differ from Skelton & McHenry (1992) regarding A. africanus, A. robustus, and A. boisei. McCollum et al. (1993) also differ from Walker et al. (1986), who characterized A. africanus  as being intermediate. Furthermore, McCollum et al. (1993) characterized KNM-ER 1805 as having a smooth nasal cavity entrance, whereas Skelton and McHenry (1992) stated that it is stepped. According to McCollum et al. (1993), H. habilis is variable (state 1; smooth in Stw 53, OH 62, KNM-ER 1805; stepped in KNM-ER 1813, OH 24, SK 847) Pg. 65","This character refers to both the contour of the nasal cavity entrance and the degree to which the nasoalveolar clivus and palatine processes overlap. Strait et al. (1997) obtained their states for this character from McCollum et al. (1993). McCollum subsequently updated her characterizations of certain early hominid specimens (McCollum, 2000), and morphological groupings proposed by her are largely adopted here. Note that McCollum (2000) also recognized a distinction between Pan and Gorilla regarding the magnitude of vertical relief between the premaxilla and maxillary palatine processes. This distinction is not recognized here because of the possibility that the difference is a scaling phenomenon. Pg. 441"
7,Anterior projection of zygomatic bone relative to piriform aperture (dishing),Zygomatic,CF,D,OM,PHY,,UBERON:0001683,The position of the infraorbital plate of the zygoma relative to the piriform aperture.,3,Posterior (0); Intermediate (1); Anterior (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the infraorbital plate of the zygoma relative to the piriform aperture. (Ordered). States: Posterior (0); Intermediate (1); Anterior (2),"This character describes ""dishing"" of the face and is equivalent to S&M 16, although they did not indicate the point of reference for their characterizations. By using the piriform aperature as a reference, three distinct morphologies are recognized: the infra-orbital plate of the zygoma is a posterior to the aperture (state 0), the zygoma is at level of the aperature (state 2), and the zygoma is anterior to the aperature. State 3 is equivalent to having a dished face. A. africanus is variable (state 1) because Sts 71 exhibits the intermediate morphology (state 2), whereas all other specimens of the species have posteriorly positioned zygomatics. Pg. 66",
8,Masseteric position relative to sellion,Mandible,CR,D,UM,PHY,,UBERON:0001684,The distance from the articular eminence to the zygomatic tubercle expressed as a percentage of the horizontal distance between the articular eminence and sellion.,2,Anterior (0); Posterior (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Rak's (1983, 1988) index of masseteric position describes the anterior migration of the masseter muscle. An index value of 100 indicates that the masseteric tuberacle is in the same coronal plane as sellion. Two states are recognized: (0) the tubercle is at or posterior to sellion (index values ≤ 105), and (1) it is at or anterior to sellion (index values ≥ 95). The ranges of these two states overlap partially. Pg. 67",
9,Cranial capacity,Brain,CR,C,OM,BOTH,D,UBERON:0000955,Cranial capacity in cubic centimeters. (Small<500; Intermediate=500-680; Medium=750-875; Large=900-1200; Very large>1300),4,Small (0); Intermediate (1); Medium (2); Large (3); Very large (4),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Berger 2010",,Cranial capacity in cubic centimeters. (Small<500; Intermediate=500-680; Medium=750-875; Large=900-1200; Very large >1300). (Ordered). States: Small (0); Intermediate (1); Medium (2); Large (3); Very large (4),"The cube root of cranial capacity was used so as to counter-act the exponential growth of this volume in relation to the linear dimensions of the braincase. However, equivalent groupings were found using the volumetric measurement, and this is presented here because readers are more familiar with the manner in which this measurement is distributed in hominids. Five states are recognized (data from Aiello & Dean, 1990; Tobias, 1991; Brown et al., 1993), some of which overlap considerably: (0) below 500 cm^3, (1) approximately 500 cm^3, (2) 509-680 cm^3, (3) 750-875 cm^3, (4) approximately 1400 cm^3. State 0 includes  P. troglodytes, G. gorilla, A. afarensis and A. aethiopicus. Although some gorillas may exceed 500 cm^3, their body sizes are also much greater, and thus their brains are relatively quite small. State 1 includes A. africanus, A. robustus, and A. boisei. Stw 505 has considerably extended the range of A. africanus (Clarke, pers. comm.) State 2 includes H. habilis. Although the range of H. habilis overlaps cosiderably with those of australopithecines, the smallest H. habilis cranial capacity (KNM-ER 1813: 509 cm^3) is still much larger than the smallest representatives of the australopithecine species. Holloway (1973) estimated the cranial capacity of Sts 19 to be 436 cm^3, but reconstructions that include the calotte Sts 58 indicate cranial capacities between 530 and 570 cm^3  (Broom & Robinson, 1948; Tobias, 1975). State 3 includes H. rudolfensis and H. ergaster. State 4 includes H. sapiens. In general, S&M 65 recognized finer distinctions between taxa than are recognized here. Pg. 67, 68","The state assignments of several early hominid taxa have been revised from Strait et al. (1997). Recent discoveries have made clear that the australopith species overlap extensively with respect to brain size. Regarding Pr. afarensis, A.L. 444-2 has an estimated capacity of 500 cc (Holloway and Yuan, 2004), which increases the range of this species. With reference to P. boisei, we include here Holloway’s (1988) rough estimate of 395 cc for KNM-WT 17400, which is notably smaller than the values for other P. boisei specimens. The range for this species sample has been extended also by Suwa et al. (1997), who provided an estimate of 545 cc for KGA 10-525. We have excluded KNM-ER 3733 from the H. ergaster sample because its published estimate is a minimum value, and we have utilized the ‘‘age corrected’’ value of 909 cc provided for KNM-WT 15000 (Begun and Walker, 1993). Although not formally considered here, the specimens from Dmanisi that are likely to be conspecific with the African H. ergaster sample suggest that the range in brain size in this species extends below the size observed in the Nariokotome specimen. The ranges of the non-Homo samples overlap extensively, and they overlap with the ranges for the African ape samples. Because there is no clear distinction among these various species, they are all provided with the same character state. Pg. 442"
10,Cerebellar morphology,Brain,CR,D,UM,PHY,,UBERON:0000955,The position of cerebellum relative to the cerebrum.,2,Lateral flare with posterior protrusion (0); Tucked (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the cerebellum relative to the cerebellum. (Unordered). States: Lateral flare with posterior protrusion (0); Tucked (1),"Holloway (1988) stated that in Homo, A. boisei and A. robustus, the cerebellum is tucked underneath the cerebrum. In most other hominids, the cerebellum flares laterally and protrudes posteriorly. Holloway did not discuss A. afarensis, but our observations suggest that it too flares laterally with posterior protrusion. This character is equivalent to S&M 66. Pg. 68",
11,O-M sinus present in high frequency,Maxilla,CF,D,,PHY,,UBERON:0002397,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Although Kimbel (1984) argued that this character is sufficiently variable in humans to preclude its use in phylogenetic studies, it nonetheless appears to discriminate between hominid taxa. An O–M sinus is present either uni- or bilaterally in high frequency (state 2) in A. afarensis, A. boisei, and A. robustus (Falk, 1986, 1988, 1990). It is absent or found in low frequency (state 0) in African apes (Kimbel, 1984), H. habilis (Tobias, 1991), H. rudolfensis (Kimbel, 1984; Tobias, 1991). It is absent in the juvenile A. aethiopicus L. 338 y-6 (Rak & Howell, 1978; Walker & Leakey, 1988), and while Walker et al. (1986) inferred that it is present in KNM-WT 17000 because of a reduced transverse sinus, Holloway (1988) has disputed this. An O–M sinus is present in 25% of A. africanus specimens. It is absent in MLD 37/38 (Conroy et al., 1990), MLD 1, Sts 5, Sts 26, TM 1511, and Sts 71 (Kimbel, 1984), and present in Taung (Tobias & Falk, 1988) and one Stw specimen (Kimbel, pers. comm.). Between 8 and 46% of modern humans exhibit and O–M sinus (Kimbel, 1984). Accordingly, A. africanus and Homo sapiens are coded as having an intermediate frequency (state 1). Pg. 68",
12,Anteromedial incursion of the superior temporal lines,Temporal,CR,D,OM,BOTH,D,UBERON:0001678,The course of the superior temporal line bewteen frontomalaretemporale and the point of maximum inflection on the line as it turns from being medially directed to posteriorly directed.,3,Weak (0); Moderate (1); Strong (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015, Berger et al. 2010",,,"This character, as defined by Kimbel (1988; see also Clarke, 1977; Rak, 1983), describes the course of the superior temporal line between frontomalaretemporale and the point of maximum inflection on the line as it turns from being medially directed to posteriorly directed. Incursion is best seen in superior view. Incursion is strong in the ""robust"" australopithecines , where the temporal line penetrates far medially and is parallel to the orbital margin. Incursion is weak in H. ergaster, H. rudolfensis and H. sapiens, where the line barely penetrates medially and is strongly oblique to the orbital margin. H. habilis is variable, because incursion is weak in OH 24 and KNM-ER 1813, but moderate in sk 847 and Stw 53. Data from A. afarensis comes from KNM-ER 2602 and the Belohdeli frontal (Kimbel, 1988; Asfaw, 1987). Pg. 68",
13,Asterionic notch,Vault,CR,D,UM,PHY,,UBERON:0004339,The presence of an asterionic notch.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Kimbel & Rak (1985) note than an asterionic notch is present in apes, A. afarensis and KNM-ER 1805. H. habilis is correspondingly coded as being variable. Skelton & McHenry (1992) noted the condition of KNM-ER 1805, but considered a notch to be absent in Homo. Walker et al. (1986) and Kimbel et al. (1988) state that a notch is probably present in KNM-WT 17000. Although a notch is absent in L. 338 y-6, a putative juvenile A. aethiopicus, Kimbel & Rak (1985) note that the character is absent in juvenile apes. All other taxa lack an asterionic notch. Pg. 69",
14,Parietal overlap of occipital at asterion,Parietal,CR,D,UM,PHY,,UBERON:0000210,"The presence of an overlap of temporal, parietal and occipital bones at asterion.",2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Kimbel & Rak (1985) describe a morphology present in male A. boisei in which the external tables of the temporal, parietal and occipital bones overlap in a complex ""sandwich"" pattern at astersion. This pattern is also present in KNM-WT 17000 (Kimbel et al., 1988), and incipiently in L. 388 y-6. S&M 73 describes this character as ""temporoparietal overlap of occipital"". The name is shortened here to ""parietal overlap of occipital"" because the relationship between the temporal and parietal bones is subsumed within character 24 (squamosal suture overlap extensive). Thus, this character refers only to the flange of parietal bone that extends posteroinferiorly over the occipital. Pg. 69",
15,Postorbital constriction,Parietal,CR,C,OM,BOTH,D,UBERON:0000210,The index of minimum frontal breadth to superior facial breadth (bi-frontomalaretemporale). (Marked constriction<0.65; Moderate constriction=0.65-0.77; Slight constriction>0.77).,2,Marked (0); Moderate (1); Slight (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"This character is measured as an index of minimum frontal breadth to superior facial breadth (bi-frontomalaretemporale). Although there is slight overlap between the ranges of living taxa, three states are recognized: (0) marked constriction (index values below 65%), (1) modereate constriction (between 65 and 77%), and (2) slight constriction (>77%). Data from Asfaw (1987) and Chamberlain (1987) were supplemented with our own measurements. This character is partially related to character 19 (""anteromedial incursion of the superior temporal lines""). However, the size and configuration of the temporalis muscle is independent of constriction, and Gorilla has marked constriction but only moderate incursion. Thus the characters are not considered to be redundant. Pg. 70",
16,Pneumatization of temporal squama,Temporal,CR,D,UM,PHY,,UBERON:0001678,The extent of the pneumatic tracts relative to the squamosal suture. Pneumatization extends beyond squamosal suture leading to a thickening of the squamous temporal (squamous antrum) = extensive. Absence of antrum = not extensive,2,Extensive (0); Reduced (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Two states are recognized based on Sherwood (1994). Extensive pneumatization is observed when pneumatic tracts extend to the squamosal suture, thereby thickening the squamous temporal. Sherwood describes this as a squamous antrum. Pneumatization is not extensive when the antrum is absent. A squamous antrum is present in apes, A. afarensis, A. aethiopicus  and A. africanus. Sherwood (1994) states that an antrum is absent in A. boisei, but Walker & Leakey (1988) observed extensive pneumatization in KNM-WT 17400. Consequently, A. boisei is considered variable. S&M 76 considered A. africanus to be weakly pneumatized. Pg. 70",
17,Facial hafting,Face ,CF,D,UM,PHY,,UBERON:0001456,"The position of the face relative to the neurocranium, assessed by comparing the position of the supraorbital relative to the bregma.",2,Low (0); High (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The position of the face relative to the neurocranium, assessed by comparing the position of the supraorbital relative to the bregma. (Unordered). States: Low (0); High (1)","This character, as described by Tobias (1967) and Howell (1978), expresses the position of the face relative to the neurocranium.The face is hafted high (state 1) in A. robustus, A. boisei and A. aethiopicus. The face is low (state 0) in all other species. Facial hafting and the incursion of the temporal lines (character 19) are related to the presence or absence of a frontal trigon (Rak, 1983), and therefore the latter is not considered an independent character. Pg. 70","Strait et al. (1997: 70) noted that ‘‘facial hafting and the incursion of the temporal lines(character 19) are related to the presence or absence of a frontal trigon,’’ and that ‘‘therefore the latter is not considered an independent character.’’ Consequently, the frontal trigon is not employed here. Asfaw et al. (1999b:1211) noted that a frontal trigon is present in A. garhi, and claimed that by omitting this character, we (Strait and Grine 1999) served to strengthen our ‘‘preferred conclusion of ‘robust australopithecine monophyly.’’’ However, because the three species of Paranthropus exhibit a frontaltrigon,the exclusion of this feature could not possibly have strengthened the case for Paranthropus monophyly. Pg. 442"
18,Supraglenoid gutter width,Temporal,CR,C,UM,PHY,,UBERON:0001678,The maximum distance from the temporal squame at the anterior end of the root of the zygomatic process to the most lateral point at that location. (Wide>25mm; Narrow<25).,2,Narrow (0); Wide (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Data from Wood (1991) were supplemented by our own measurements. Wood (1991) refers to this character as temporal gutter width. A wide gutter is one that is broader than 25 mm, while a narrow gutter is less than 25 mm. KNM-ER 1470 is inferred to have had a narrow gutter. Pg. 70",
19,Petrous orientation,Temporal,CR,C,OM,PHY,,UBERON:0001678,The orientation of the petrous. The angle is measured relative to the bitympanic line. (Coronal<50 degrees; Intermediate=50-60; Sagittal>60).,3,Sagittal (0); Intermediate (1); Coronal (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Dean & Wood (1981, 1982) and Dean (1986, 1988a) note that A. boisei, A. robustus, and Homo share coronally oriented petrous bones, while the petrous orientation of all other taxa is more sagittal. Walker et al. (1986) state that KNM-WT 17000 has coronally oriented petrous bones, but S&M 61 disagreed, stating that the condition of KNM-WT 17000 is sagittal. Measurements recorded by us on original specimens and casts resulted in the recognition of three states: (0) coronally oriented petrous bones (i.e., angled at less than 50° to the bitympanic line), (2) sagittally orientated bones (greater than 60°), and (1) intermediate (between 60° and 50°). With respect to KNM-WT 17000, we concur with Walker et al. (1986). A. africanus is considered intermediate. Although Dean & Wood (1982) stated that petrous orientation in (pers. comm.) states that A. afarensis has an intermediate petrous orientation. Pg. 73",
20,Origin of digastric muscle,,CR,D,,PHY,,,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"When the cranium is viewed in norma occipitalis, the digastric origin may be seen to take the form of either a broad, shallow fossa (state 0) or a deep, restricted furrow (state 1). Kimbel et al. (1985) demonstrated that Olson's (1981, 1985) characterization of the AL 333-45 cranium was mistaken, and that this specimen has an ape-like, shallow fossa. The AL 444-2 cranium also exhibits a broad, shallow fossa (Kimbel, pers. comm.). MLD 37/38 exhibits a fossa that appears to be deep and narrow (Olson, 1978, 1981). However, Kimbel et al. (1985: pp. 128-129) assert that the morphology of this specimen is not homologous to that of modern humans; rather it is comparable to that of African apes. Thus A. africanus is coded as having state 0. Olson (1978) observed that SK 47 has a deep, narrow fossa, so this state is present in A. robustus. Although Olson (1978) posited the presence of a broad, shallow fossa in TM 1517, the circum-mastoid region of this specimen is very poorly preserved, and its condition cannot be ascertained. A. boisei has a broad, shallow fossa, as represented by OH 5, KNM-ER 406, KNM-ER 407 and KNM-ER 23000 (Brown et al., 1993). Pg. 74",
21,Mandibular cross-sectional area at M1,Mandible,DEN,C,UM,PHY,,UBERON:0001684,The geometric mean of the area of the corpus at M1. The area is caculated as an ellipse and the square root of area was then used to assess the character. (Small<25.5mm sq; Large>25.5mm sq).,2,Small (0); Large (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
22,Hollowing above and behind mental foramen,Mandible,CR,D,UM,PHY,,UBERON:0001684,The presence of a hollowing contour of the lateral face of the mandibular corpus above and behind the mental foramen.,2,Present (0); Absent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
23,Mandibular deciduous canine shape,Mandible,DEN,D,UM,PHY,,UBERON:0001684,"The mesiodistal disposition of the apex, the height of mesial crown convexity and the height of the mesial end of the lingual cingulum.",2,"Apex central, mesial convexity low (0); Apex mesial, mesial convexity high (1)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Shape refers to the mesiodistal disposition of the apex, the height of mesial crown convexity, and the height of the mesial end of the lingual cingulum (Grine, 1985). Two states are recognized: (0) a centrally disposed apex with the convexity near the cervix (i.e., a low convexity), and (1) a mesially positioned apex with the convexity closer to the tip (a high convexity). Data are missing for A. aethiopicus, H. habilis and H. rudolfensis. This character replaces S&M 18 (deciduous canine shape). They described this feature as being either tall and narrow, or low, wide and blunt. Because these definitions reflect size aswell as shape, the character is redundant with our character 51 (canines reduced). Pg. 75",
24,Incisal reduction,Incisor,DEN,D,OM,BOTH,D,UBERON:0001098,The summed mediodistal means of the I1 and I2.,3,Not reduced (0); Moderate (1); Reduced (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
25,Premolar crown area,Premolar,DEN,D,OM,PHY,,UBERON:0007120,,,,"Traits from Strait, 1997;2004",,,"This character and the following (54, molar crown area) replace S&M 28 (‘‘postcanine tooth area’’). Their single character has been divided because premolars and molars do not necessarily change (either increase or decrease) in size at the same rate in all species, as revealed not only by values for individual specimens that possess both premolars and all three molars, but also by species values determined from crown area means. Premolar crown area was determined for specimens with associated P3  and P4 or p3 and p4. Crown areas of either the upper or lower teeth were added to provide a single value for each specimen, and the square root of the summed area value was used in order to obviate the effect of exponential enlargement of area with a linear increase in MD and BL dimensions. This character is a composite of maxillary and mandibular crowns area distributions. While maxillary and mandibular ranges may differ, there is consistency in the trends that they established. The character states are determined by the degree of overlap and disjunction among the observed ranges, especially those for maxillary teeth. Mensurational data are from Mahler (1973) for Pan and Gorilla, Jacobson (1982) for H. sapiens, Tobias (1991) for Olduvai Gorge specimens of H. habilis, Johanson et al. (1982), White (1977, 1980), Kimbel et al. (1994) and White et al. (1993) for the Hadar, Laetoli and Maka specimens of A. afarensis, and Grine (pers. obs.) for all other specimens. With regard to P. aethiopicus, only a single upper premolar of disputed allocation is known (Suwa, 1989; Grine et al., 1991), but the mandibular premolars of KNM-WT 16005 and L. 860-2 are intermediate in size between those of P. robustus and P. boisei. Pg. 76-77",
26,Molar crown area,Molar,DEN,D,OM,PHY,,UBERON:0003655,,,,"Traits from Strait, 1997;2004",,,"This value was calculated for specimens with associated M1 –M3 , and/or m1–m3, where the crown areas of the three teeth could be summed to a single value. The square root of the summed area value was employed in order to preclude the effect of exponential area enlargement with the linear increase of MD and BL dimensions. The character is a composite of maxillary and mandibular crown area distributions, which are similar, but not identical. Although the ranges may differ, there is overall consistancy in their trends. Character states are determined by the degree of overlap and disjunction among the observed ranges, especially for maxillary teeth. Mensurational data are taken from the same sources as for character 53. Although there is no associated M1 –M3 or m1–m3 for any H. rudolfensis specimen, the M1 and M2 of KNM-ER 1590, and the m1s and m2s of KNM-ER 1820 and UR 501 are comparatively large (especially compared to H. habilis homologues). In addition, Wood (1992) has noted that H. rudolfensis specimens do not exhibit M3 reduction, in comparison to H. habilis specimens. Thus, we are reasonably confident in our assignment of a character state to H. rudolfensis as being equivalent to A. africanus and P. robustus, and larger than H. habilis. A. aethiopicus is accepted as having large molar teeth. Although there is no complete crown associated with KNM-WT 17000, it has very large tooth roots (cf. OH 5), and while there is no m3 that has been definitely attributed to A. aethiopicus, the roots and alveoli of Omo 57.4–1968–41 indicate the presence of three large molars. This, together with the KNM-WT 16005 crowns provide for a reasonably confident assignment of overall molar crown size. Pg. 77",
27,dM1 mesial crown profile,Molar,DEN,D,UM,PHY,,UBERON:0003655,"This character comprises several inter-related traits. These are: the position of the protoconid relative to the metaconid, the disposition of the mesial marginal ridge, and the structure of the fovea anterior.",3,"MMR absent, protoconid anterior, fovea open (0); MMR slight, protoconid anterior, fovea open (1); MMR thick, protoconid even with metaconid, fovea closed (2)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"This character replaces S&M 29 (""distal crown profile of dm1"") which was taken from White et al. (1981). Grine (1984) has demonstrated that because of its intraspecific polymorphism, the distal crown profile of the dm1 fails to distinguish adequately between taxa. The mesial crown profile, on the other hand, is a feature that has been shown to differ between species, and to exhibit a low degree of variability within OTUs (Robinson, 1954; Grine, 1984, 1985). This character comprises several inter-related traits, which were atomized by Grine (1985). These are: (a) the position of the protoconid relative to the metaconid, (b) the disposition of the mesial marginal ridge, and (c) the structure of the fovea anterior. Three states are recognized: (0) there is virtually no mesial marginal ridge present, the protoconid is situated well mesial, and the anterior fovea exhibits a wide lingual opening, (1) the mesial marginal ridge is slight, the protoconid is situated mesial of metaconid, the fovea anterior opens lingually via a fissure between the mesial marginal ridge and the metaconid, (2) the mesial marginal ridge is well-developed and horizontally disposed, the protoconid is nearly level with metaconid, and the anterior fovea is enclosed lingually. Information for H. habilis and H. rudolfensis is lacking because no dm1 is definitively attributable to either, because we accept that the KNM-ER 820 and KNM-ER 1507 likely represents H. ergaster. Omo 222-2744 is a very early specimen of Homo (Grine, 1984), but its specific attribution is unresolved. The datum for A. aethiopicus is based on L.704-2 from Member D. Pg. 77-78",
28,Distal marginal ridge of dM2,Molar,DEN,D,UM,PHY,,UBERON:0003655,The development of the distal marginal ridge of deciduous second molar.,2,Low (0); High (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"This character is taken from Grine (1985). Two states are recognized: (0) the distal marginal ridge is high at its buccal end, being confluent with the metacone near its apex; and (1) the ridge is buccally low and narrow, attaining confluence with the metacone near its base. Data are not available for H. ergaster or A. aethiopicus because no dm2 is definitively attributable to either species. Pg. 78",
29,Separation of molar and premolar cusp apices,Mandible,DEN,D,,PHY,,UBERON:0001684,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"This character replaces S&M 31, which alludes simply to the separation of the cusps of the P4 . The condition exhibited by the P4 applies equally to the P3, the lower premolars, and the upper and lower molars. This character reflects the position of the cusp tips being nearer the crown margin in occlusal view, or closer to the crown center (Clarke, 1977; Tobias, 1991; Grine & Strait, 1994). Three states are recognized: (0) apices widely separated and approximate the outer crown margins, (2) apices are close together, and (1) a condition intermediate between the first two. S&M 41 (‘‘degree of lower molar cusp swelling’’) is related to the disposition of the cusp tips, because when apices are close together, the cusps appear swollen. Pg. 78",
30,Frequency of well developed P3,Premolar,DEN,D,OM,PHY,,UBERON:0007120,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
