id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,notes,Collard and Wood (2000),Dembo et al. (2015),Strait et al. (1997),Strait and Grine (2004)
270,Foramen magnum shape,Occipital,CR,D,UM,BOTH,D,UBERON:0001676,The shape of foramen magnum.,3,Oval (0); Heart (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; D for P. boisei",,The shape of foramen magnum. (Unordered). States: Oval (0); Heart (1),,
271,Foramen magnum position,Occipital,CR,D,OM,PHY,,UBERON:0001676,The position of foramen magnum relative to bi-tympanic line.,2,Posterior (0); At line (1); Anterior (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of foramen magnum relative to bi-tympanic line. (Ordered). States: Posterior (0); At line (1); Anterior (2),,
272,Foramen magnum inclination,Occipital,CR,D,OM,PHY,,UBERON:0001676,The angle between the basion-opisthion chord and Frankfurt Horizontal.,3,Posteriorly (0); Horizontal (1); Anteriorly (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The angle between the basion-opisthion chord and Frankfurt Horizontal. (Ordered). States: Posteriorly (0); Horizontal (1); Anteriorly (2),"This character is measured as the angle between the basion–opisthion chord and Frankfurt Horizontal. Measurements by us are comparable to those recorded by Wood (1991) but differ somewhat from those of Kimbel et al. (1984). All three data sets, however, group species into similar clusters. The foramen magnum is strongly inclined posteriorly (state 0) if it faces backwards at an angle of greater than 17·5 degrees). It is strongly inclined anteriorly (state 2) if it faces forward at an angle of greater than 13 degrees). An intermediate inclination (state 1) approximates the horizontal plane. Basion is missing in A. afarensis specimens that can be reliably oriented in Frankfurt Horizontal, so a state was not assigned to that species. Similarly, states could not be assigned to H. rudolfensis and A. aethiopicus. H. ergaster is coded as having state 2 based on the reconstruction of KNM-WT 15000 presented in Walker & Leakey (1993; A. Walker, pers. comm.); the cranial bases of KNM-ER 3733 and KNM-ER 3883 are distorted. Pg. 73-74",
273,Cranial base breadth,Basicranium,CR,C,OM,PHY,,UBERON:0002517,The index of bi-porion chord divided by orbital height chord.,3,Narrow (0); Intermediate (1); Broad (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of bi-porion chord divided by orbital height chord. (Ordered). States: Narrow (0); Intermediate (1); Broad (2),,
274,Basioccipital length,Basicranium,CR,C,OM,PHY,,UBERON:0002517,The index of basion-sphenobasion length divided by cranial base geometric mean.,3,Long (0); Intermediate (1); Short (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of basion-sphenobasion length divided by cranial base geometric mean. (Ordered). States: Long (0); Intermediate (1); Short (2),,
275,Cranial base flexion,Basicranium,CR,D,OM,PHY,,UBERON:0002517,The angle between Frankfurt Horizontal and the basion-hormion chord (the inclination of the basioccipital and basisphenoid measured externally).,3,Flat (0); Moderate (1); Flexed (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The angle between Frankfurt Horizontal and the basion-hormion chord (the inclination of the basioccipital and basisphenoid measured externally). (Ordered). States: Flat (0); Moderate (1); Flexed (2),"Flexion is characterized as the angle between Frankfurt Horizontal and the basion–hormion chord (i.e., the inclination of the basioccipital and basisphenoid measured externally). Flexion is traditionally measured internally, but an external measurement allows the inclusion of many more specimens. The states in S&M 55 are accepted here except for A. afarensis, because the relevant morphology is preserved only in an infant (AL 333-105). Furthermore, contra S&M 55, the morphology of P. robustus is probably better expressed in SK 47 than in SK 48. Although SK 47 is a juvenile, it is much older ontogenetically than AL 333-105. KNM-WT 15000 has a flexed base to judge from the descriptions and figures in Walker & Leakey (1993). The bases of other H. ergaser specimens (KNM-ER 3733, KNM-ER 3883) appear flat, but may have been partially distorted. Pg. 71",
276,Posterior base shape,Basicranium,CR,D,UM,PHY,,UBERON:0002517,The horizonal disatnce between the coronal plane of the mastoid crests and the most posterior part of the cranial base between the supramastoid crests.,3,Moderate (0); Squat (1); Elongate (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The horizontal distance between the coronal plane of the mastoid crests and the most posterior part of the cranial base between the supramastoid crests. (Unordered). States: Moderate (0); Squat (1); Elongate (2),,
277,Cerebellum position,Brain,CR,D,UM,PHY,,UBERON:0000955,The position of the cerebellum relative to the cerebrum.,3,Not tucked (0); Tucked (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the cerebellum relative to the cerebrum. (Unordered). States: Not tucked (0); Tucked (1),,
278,Anterior pole shape,Brain,CR,D,UM,PHY,,UBERON:0000955,"The shape of the anterior poles of the frontal lobe as seen in the endocast. Strongly anteriorly tapered lobes are considered ""beaked"".",2,Rounded (0); Beaked (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The shape of the anterior poles of the frontal lobe as seen in the endocasts. Strongly anteriorly tapered lobes are considered ""beaked"". (Unordered). States: Rounded (0); Beaked (1)",,
279,Enamel thickness,Dentition,DEN,D,OM,BOTH,D,UBERON:0003672,The relative thickness of enamel.,2,Thin (0); Thick (1); Hyperthick (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The relative thickness of enamel. (Ordered). States: Thin (0); Thick (1); Hyperthick (2),"Metrical data derive from Beynon & Wood (1987), and Grine (unpubl.) for A. boisei, Beynon & Wood (1986, 1987) and Bromage et al. (1994) for H. rudolfensis, Beynon & Wood (1986) and Grine (unpubl.) for H. habilis, Grine & Martin (1988) for A. africanus, Grine & Martin (1988) for A. aethiopicus, Grine & Martin (1988) for A. robustus, and Grine & Martin (1988) and Grine (unpubl.) for Pan, Gorilla and H. sapiens. Three categories of relative enamel thickness are recognized. These are (0) thin, (1) thick, and (2) hyperthick. There is no metrical data available for A. afarensis. Although White et al. (1994) distinguish Ardipithecus ramidus from A. afarensis on tooth enamel thickness, Wood (1991) makes reference to KNM-ER 5431 as having ‘‘absolutely and relatively thin’’ enamel on the fractured p4 . The attribution of KNM-ER 5431 is open to dispute, but it may be referrable to A. afarensis. Thus, the state assignment of A. afarensis (thick) is based on the observation by Leakey et al. (1995) that enamel in A. anamensis is of comparable thickness to that in A. afarensis, and that it is relatively thicker than that of A. ramidus Pg. 79",
280,Dental development rate,Dentition,DEN,D,OM,PHY,,UBERON:0003672,The differences in the calcification and eruption patterns of the permanent teeth in extant hominoids and fossil hominids.,3,Delayed (0); Intermediate (1); Accelerated (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The differences in the calcification and eruption patterns of the permanent teeth in extant hominoids and fossil hominids. (Ordered). States: Delayed (0); Intermediate (1); Accelerated (2),"Dean (1985, 1987, 1988b) and Smith (1986, 1994) have described differences in the calcification and eruption patterns of the permanent teeth in extant hominoids and fossil hominids. The results of their independent investigations are in broad agreement with regard to general patterns of development in that A. afarensis and A. africanus are observed to display a pattern consistent with that exhibited by Pan and Gorilla. This pattern (state 0) entails delayed maturation of the permanent incisors, premolars and especially the canines relative to the development of the M1. Humans display a condition (state 1) in which there is greater concordance of developmental timing among these teeth. Although Smith (1986) expressed some doubt as to the pattern that best described KNM-ER 820 and KNM-ER 1507 (attributed here to H. ergaster), Dean (1987, 1988b) and later Smith (1994) considered their incisor and molar patterns to be comparable to those of modern humans. Dean (1988b; Dean et al., 1993) and Smith (1986, 1994) are in agreement that A. robustus and A. boisei display a pattern of dental development in which their incisors, canines and premolars are developmentally advanced relative to the M1 by human standards (state 2). According to Smith (1988, 1994), KNM-ER 1590, attributed here to H. rudolfensis, exhibits the primitive ape-like pattern (state 0). Data are unavailable for A. aethiopicus and for H. habilis. The specific attribution of the early Homo juvenile mandible Omo 222-2744 is uncertain, as is that (SKX 21204) from Swartkrans Member 1 “Lower Bank'' (Grine, 1993); in neither case has the specimen been examined in relation to this question. Pg. 79",Strait et al. (1997) failed to report that this character was considered unordered in all of their analyses. Pg. 443
281,Cingulum expression,Dentition,DEN,D,UM,PHY,,UBERON:0003672,The presence of labial cingulum in lower canines and premolars.,3,Present (0); Absent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of labial cingulum in lower canines and premolars. (Unordered). States: Present (0); Absent (1),,
282,Sulcus obliqus development,Dentition,DEN,D,UM,PHY,,UBERON:0003672,The development of oblique sulcus.,2,Weak to moderate (0); Strong (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of oblique sulcus. (Unordered). States: Weak to moderate (0); Strong (1),,
283,Fovea posterior development,Dentition,DEN,D,UM,PHY,,UBERON:0003672,The development of fovea posterior.,3,Absent or weak (0); Well developed (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of fovea posterior. (Unordered). States: Absent or weak (0); Well developed (1),,
284,Maxillary incisor heteromorphy,Incisor,DEN,C,UM,PHY,,UBERON:0001098,The index of I1 area divided by I2 area.,2,Dissimilar (0); Similar (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of 11 area divided by 12 area. (Unordered). States: Dissimilar (0); Similar (1),,
285,Incisor procumbency,Incisor,DEN,D,UM,PHY,,UBERON:0001098,The orientation of incisors.,2,Procumbent (0); Vertical (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The orientation of incisors. (Unordered). States: Procumbent (0); Vertical (1),,
286,Presence of Maxillary I2/C diastema,Incisor,DEN,D,UM,PHY,,UBERON:0001098,The presence of maxillary diastema.,2,Present (0); Absent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of maxillary diastema. (Unordered). States: Present (0); Absent (1),,
287,Maxillary incisor-to postcanine ratio,Incisor,DEN,C,OM,BOTH,D,UBERON:0001098,The ratio of maxillary incisor-to-postcanine teeth.,2,Small (0); Moderate (1); Large (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Berger et al. 2010",,The ratio of maxillary incisor-to-postcanine teeth. (Ordered). States: Small (0); Moderate (1); Large (2),,
288,Lingual crenulations of maxillary I1,Incisor,DEN,D,UM,PHY,,UBERON:0001098,The extent of enamel crenulations on the lingual surface of maxillary I1.,3,Absent (0); Marginal (1); Whole surface (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The extent of enamel crenulations on the lingual surface of maxillary 11. (Unordered). States: Absent (0); Marginal (1); Whole surface (2),,
289,Labial curvature of maxillary I1,Incisor,DEN,D,OM,PHY,,UBERON:0001098,The development of labial curvature of maxillary I1.,3,Trace (0); Weak (1); Moderate (2); Pronounced (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of labial curvature of maxillary 11. (Ordered). States: Trace (0); Weak (1); Moderate (2); Pronounced (3),,
290,Shovel on maxillary I1,Incisor,DEN,D,UM,PHY,,UBERON:0001098,The development of shovel-shaped maxillary I1.,4,Absent (0); Faint (1); Trace (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of shovel-shaped maxillary 11. (Unordered). States: Absent (0); Faint (1); Trace (2),,
291,Double shovel on maxillary I1,Incisor,DEN,D,UM,PHY,,UBERON:0001098,The presence of double shovel-shaped maxillary I1.,3,Absent (0); Fraint (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of double shovel-shaped maxillary 11. (Unordered). States: Absent (0); Faint (1),,
292,Shovel shape in maxillary I2,Incisor,DEN,D,UM,PHY,,UBERON:0001098,The shape of maxillary I2.,2,Classic (0); Triangular (1); Absent (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of maxillary 12. (Unordered). States: Classic (0); Triangular (1); Absent (2),,
293,Canine robusticity,Canine,DEN,D,UM,BOTH,D,UBERON:0018583,The robusticity of the canines.,3,Slender (0); More robust (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The robusticity of the canines. (Unordered). States: Slender (0); More robust (1),,
294,Canine size reduction,Canine,DEN,D,OM,PHY,,UBERON:0018583,The degree of canine reduction calibrated relative to Pan and Gorilla. Canine size and canine root dimentions compared to canines of extant African apes.,2,No (0); Somewhat (1); Very (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The degree of canine reduction calibrated relative to Pan and Gorilla. Canine size and canine root dimentions compared to canines of extant African apes. (Ordered). States: No (0); Somewhat (1); Very (2),"This trait relates to both maxillary and mandibular canines. Reduction is calibrated relative to Pan and Gorilla, which do not have reduced canines. Walker et al. (1986) reported that KNM-WT 17000 has small canines, an assessment that was presumably based on the size of the canine alveoli. Although canine crowns are missing in other A. aethiopicus specimens, canine roots in some specimens (e.g., Omo 18-1967-18) likewise appear small. Skelton & McHenry (1992) include seven characters that redundantly describe canine size. S&M 7 (‘‘upper canine juga and prominence’’) reflects the size of the upper canine root and S&M 21 (‘‘projection of upper canine’’) is redundant with size because large canines project whereas small canines do not. Likewise, S&M 22 (‘‘upper canine labial crown profile’’) reflects size because large canines are asymmetrical while small ones are symmetrical. Similarly, mesial and distal contact facets (S&M 23), diastemata (S&M 27), a long and steep mesial occlusal edge (S&M 24) and a long distal edge are associated only with large canines. These seven traits were, therefore, subsumed under our canine size character (51). Pg. 76",This character represents a change from the character employed by Strait et al. (1997) in that it now includes canine root dimensions. The data from all early hominid specimens for which both the crown and root modules can be determined reveals a very close correlation between these two values (maxillary r^2=0.86; mandibular r^2=0.90). Note that all of the extant non-human primates included here exhibit canines that are either absolutely or relatively larger than those of early hominids. Pg. 443
